,CE_Symbol / PE_Symbol ,CE_entry_time / PE_entry_time,CE_entry_price,PE_entry_price,PE_exit_time,PE_exit_price,CE_exit_time,CE_exit_price,PnL,PnL Cumulative Sum,Equity,Rate Of Return,Drawdown,Month-Year
0,BANKNIFTY20MAR20000CE / BANKNIFTY20MAR20000PE,2020-03-20 09:20:00,1164.15,1195.15,2020-03-20 09:21:00,1195.15,2020-03-20 09:21:00,1194.15,-750.0,39822.5,439822.5,-0.1875,-1500.0,2020-03-20 09:20:00
0,BANKNIFTY20MAR18900CE / BANKNIFTY20MAR18900PE,2020-03-23 09:20:00,1100.0,1055.55,2020-03-23 09:21:00,1085.55,2020-03-23 09:22:00,1100.0,-749.9999999999943,39072.50000000001,439072.5,-0.18749999999999858,-2249.9999999999927,2020-03-23 09:20:00
0,BANKNIFTY20MAR17700CE / BANKNIFTY20MAR17700PE,2020-03-24 09:20:00,1086.5,945.85,2020-03-24 09:21:00,975.85,2020-03-24 15:15:00,551.8,12617.499999999998,51690.00000000001,451690.0,3.1543749999999995,0.0,2020-03-24 09:20:00
0,BANKNIFTY20MAR17200CE / BANKNIFTY20MAR17200PE,2020-03-25 09:20:00,913.1,980.0,2020-03-25 09:22:00,980.0,2020-03-25 09:21:00,943.1,-750.0000000000028,50940.00000000001,450940.0,-0.18750000000000072,-750.0,2020-03-25 09:20:00
0,BANKNIFTY20MAR18500CE / BANKNIFTY20MAR18500PE,2020-03-26 09:20:00,400.15,525.35,2020-03-26 15:15:00,0.9,2020-03-26 09:21:00,430.15,12361.250000000002,63301.25000000001,463301.25,3.0903125000000005,0.0,2020-03-26 09:20:00
0,BANKNIFTY2040121000CE / BANKNIFTY2040121000PE,2020-03-27 09:20:00,985.3,1450.0,2020-03-27 09:21:00,1480.0,2020-03-27 09:22:00,985.3,-749.9999999999943,62551.250000000015,462551.25,-0.18749999999999858,-749.9999999999927,2020-03-27 09:20:00
0,BANKNIFTY2040119300CE / BANKNIFTY2040119300PE,2020-03-30 09:20:00,988.6,1131.0,2020-03-30 09:21:00,1131.0,2020-03-30 09:21:00,1018.6,-750.0,61801.250000000015,461801.25,-0.1875,-1499.9999999999927,2020-03-30 09:20:00
0,BANKNIFTY2040119100CE / BANKNIFTY2040119100PE,2020-03-31 09:20:00,584.6,668.25,2020-03-31 09:25:00,698.25,2020-03-31 14:37:00,584.6,-750.0000000000028,61051.250000000015,461051.25,-0.18750000000000072,-2249.9999999999927,2020-03-31 09:20:00
0,BANKNIFTY2040118900CE / BANKNIFTY2040118900PE,2020-04-01 09:20:00,193.85,354.9,2020-04-01 09:35:00,384.9,2020-04-01 15:15:00,0.35,4087.5,65138.750000000015,465138.75,1.021875,0.0,2020-04-01 09:20:00
0,BANKNIFTY2040917700CE / BANKNIFTY2040917700PE,2020-04-03 09:20:00,664.2,832.95,2020-04-03 09:21:00,862.95,2020-04-03 09:50:00,664.2,-750.0,64388.750000000015,464388.75,-0.1875,-750.0,2020-04-03 09:20:00
0,BANKNIFTY2040918300CE / BANKNIFTY2040918300PE,2020-04-07 09:20:00,327.8,563.8,2020-04-07 09:24:00,563.8,2020-04-07 09:22:00,357.8,-750.0,63638.750000000015,463638.75,-0.1875,-1500.0,2020-04-07 09:20:00
0,BANKNIFTY2040918600CE / BANKNIFTY2040918600PE,2020-04-08 09:20:00,397.1,430.6,2020-04-08 09:21:00,460.6,2020-04-08 09:27:00,397.1,-750.0,62888.750000000015,462888.75,-0.1875,-2250.0,2020-04-08 09:20:00
0,BANKNIFTY2040919600CE / BANKNIFTY2040919600PE,2020-04-09 09:20:00,330.7,376.3,2020-04-09 09:22:00,376.3,2020-04-09 09:21:00,360.7,-750.0,62138.750000000015,462138.75,-0.1875,-3000.0,2020-04-09 09:20:00
0,BANKNIFTY2041619800CE / BANKNIFTY2041619800PE,2020-04-13 09:20:00,604.05,738.65,2020-04-13 09:21:00,768.65,2020-04-13 11:40:00,604.05,-750.0000000000028,61388.750000000015,461388.75,-0.18750000000000072,-3750.0,2020-04-13 09:20:00
0,BANKNIFTY2041619900CE / BANKNIFTY2041619900PE,2020-04-15 09:20:00,443.7,435.15,2020-04-15 09:21:00,435.15,2020-04-15 09:21:00,473.7,-750.0000000000014,60638.750000000015,460638.75,-0.18750000000000033,-4500.0,2020-04-15 09:20:00
0,BANKNIFTY2041618800CE / BANKNIFTY2041618800PE,2020-04-16 09:20:00,218.2,290.0,2020-04-16 09:22:00,320.0,2020-04-16 09:23:00,218.2,-750.0,59888.750000000015,459888.75,-0.1875,-5250.0,2020-04-16 09:20:00
0,BANKNIFTY2042320300CE / BANKNIFTY2042320300PE,2020-04-17 09:20:00,710.0,687.9,2020-04-17 09:21:00,687.9,2020-04-17 09:21:00,740.0,-749.9999999999972,59138.750000000015,459138.75,-0.1874999999999993,-6000.0,2020-04-17 09:20:00
0,BANKNIFTY2042320800CE / BANKNIFTY2042320800PE,2020-04-20 09:20:00,579.35,615.45,2020-04-20 09:21:00,645.45,2020-04-20 09:22:00,579.35,-749.9999999999972,58388.750000000015,458388.75,-0.1874999999999993,-6750.0,2020-04-20 09:20:00
0,BANKNIFTY2042319800CE / BANKNIFTY2042319800PE,2020-04-21 09:20:00,481.0,515.3,2020-04-21 09:21:00,545.3,2020-04-21 15:15:00,267.95,4576.249999999999,62965.000000000015,462965.0,1.1440624999999998,-2173.75,2020-04-21 09:20:00
0,BANKNIFTY2042319300CE / BANKNIFTY2042319300PE,2020-04-22 09:20:00,390.6,415.05,2020-04-22 09:21:00,445.05,2020-04-22 10:36:00,390.6,-749.9999999999986,62215.000000000015,462215.0,-0.18749999999999967,-2923.75,2020-04-22 09:20:00
0,BANKNIFTY2042319800CE / BANKNIFTY2042319800PE,2020-04-23 09:20:00,167.75,245.0,2020-04-23 15:15:00,0.25,2020-04-23 09:25:00,197.75,5368.75,67583.75000000001,467583.75,1.3421875,0.0,2020-04-23 09:20:00
0,BANKNIFTY20APR19700CE / BANKNIFTY20APR19700PE,2020-04-24 09:20:00,533.65,627.0,2020-04-24 09:25:00,657.0,2020-04-24 09:38:00,533.65,-749.9999999999972,66833.75000000001,466833.75,-0.1874999999999993,-750.0,2020-04-24 09:20:00
0,BANKNIFTY20APR20000CE / BANKNIFTY20APR20000PE,2020-04-27 09:20:00,430.0,499.8,2020-04-27 09:23:00,529.8,2020-04-27 09:24:00,430.0,-750.0,66083.75000000001,466083.75,-0.1875,-1500.0,2020-04-27 09:20:00
0,BANKNIFTY20APR20500CE / BANKNIFTY20APR20500PE,2020-04-28 09:20:00,335.2,392.1,2020-04-28 09:40:00,422.1,2020-04-28 13:17:00,335.2,-750.0000000000014,65333.750000000015,465333.75,-0.18750000000000033,-2250.0,2020-04-28 09:20:00
0,BANKNIFTY20APR20500CE / BANKNIFTY20APR20500PE,2020-04-29 09:20:00,291.95,243.1,2020-04-29 15:15:00,51.8,2020-04-29 09:21:00,321.95,4032.499999999999,69366.25000000001,469366.25,1.0081249999999997,0.0,2020-04-29 09:20:00
0,BANKNIFTY20APR21600CE / BANKNIFTY20APR21600PE,2020-04-30 09:20:00,160.6,160.25,2020-04-30 13:07:00,160.25,2020-04-30 09:23:00,190.6,-749.9999999999993,68616.25000000001,468616.25,-0.18749999999999983,-750.0,2020-04-30 09:20:00
0,BANKNIFTY2050720200CE / BANKNIFTY2050720200PE,2020-05-04 09:20:00,594.15,638.55,2020-05-04 09:35:00,668.55,2020-05-04 15:15:00,365.0,4978.749999999996,73595.00000000001,473595.0,1.244687499999999,0.0,2020-05-04 09:20:00
0,BANKNIFTY2050720200CE / BANKNIFTY2050720200PE,2020-05-05 09:20:00,468.9,606.45,2020-05-05 09:25:00,636.45,2020-05-05 15:15:00,151.05,7196.249999999998,80791.25000000001,480791.25,1.7990624999999996,0.0,2020-05-05 09:20:00
0,BANKNIFTY2050719100CE / BANKNIFTY2050719100PE,2020-05-06 09:20:00,349.6,424.25,2020-05-06 09:21:00,454.25,2020-05-06 09:25:00,349.6,-750.0,80041.25000000001,480041.25,-0.1875,-750.0,2020-05-06 09:20:00
0,BANKNIFTY2050719400CE / BANKNIFTY2050719400PE,2020-05-07 09:20:00,208.6,232.2,2020-05-07 15:15:00,0.3,2020-05-07 09:22:00,238.6,5047.499999999999,85088.75000000001,485088.75,1.2618749999999999,0.0,2020-05-07 09:20:00
0,BANKNIFTY2051419800CE / BANKNIFTY2051419800PE,2020-05-08 09:20:00,575.0,537.05,2020-05-08 10:00:00,537.05,2020-05-08 09:25:00,605.0,-750.0,84338.75000000001,484338.75,-0.1875,-750.0,2020-05-08 09:20:00
0,BANKNIFTY2051419600CE / BANKNIFTY2051419600PE,2020-05-11 09:20:00,433.15,444.3,2020-05-11 09:23:00,444.3,2020-05-11 09:21:00,463.15,-749.9999999999986,83588.75000000001,483588.75,-0.18749999999999967,-1500.0,2020-05-11 09:20:00
0,BANKNIFTY2051418500CE / BANKNIFTY2051418500PE,2020-05-12 09:20:00,370.55,360.55,2020-05-12 09:36:00,390.55,2020-05-12 13:00:00,370.55,-750.0,82838.75000000001,482838.75,-0.1875,-2250.0,2020-05-12 09:20:00
0,BANKNIFTY2051419800CE / BANKNIFTY2051419800PE,2020-05-13 09:20:00,420.05,398.7,2020-05-13 09:24:00,398.7,2020-05-13 09:21:00,450.05,-750.0,82088.75000000001,482088.75,-0.1875,-3000.0,2020-05-13 09:20:00
0,BANKNIFTY2051419200CE / BANKNIFTY2051419200PE,2020-05-14 09:20:00,168.85,210.05,2020-05-14 15:15:00,136.95,2020-05-14 09:23:00,198.85,1077.4999999999998,83166.25000000001,483166.25,0.269375,-1922.5,2020-05-14 09:20:00
0,BANKNIFTY2052118900CE / BANKNIFTY2052118900PE,2020-05-15 09:20:00,504.1,569.5,2020-05-15 09:56:00,569.5,2020-05-15 09:30:00,534.1,-750.0000000000028,82416.25000000001,482416.25,-0.18750000000000072,-2672.5,2020-05-15 09:20:00
0,BANKNIFTY2052118500CE / BANKNIFTY2052118500PE,2020-05-18 09:20:00,435.4,436.15,2020-05-18 09:21:00,466.15,2020-05-18 15:15:00,178.85,5663.749999999999,88080.00000000001,488080.0,1.4159374999999998,0.0,2020-05-18 09:20:00
0,BANKNIFTY2052117900CE / BANKNIFTY2052117900PE,2020-05-19 09:20:00,429.0,493.95,2020-05-19 09:23:00,523.95,2020-05-19 10:16:00,429.0,-750.0,87330.00000000001,487330.0,-0.1875,-750.0,2020-05-19 09:20:00
0,BANKNIFTY2052117700CE / BANKNIFTY2052117700PE,2020-05-20 09:20:00,263.95,318.5,2020-05-20 09:24:00,318.5,2020-05-20 09:21:00,293.95,-749.9999999999986,86580.00000000001,486580.0,-0.18749999999999967,-1500.0,2020-05-20 09:20:00
0,BANKNIFTY2052118000CE / BANKNIFTY2052118000PE,2020-05-21 09:20:00,124.1,134.5,2020-05-21 14:16:00,134.5,2020-05-21 09:35:00,154.1,-749.9999999999993,85830.00000000001,485830.0,-0.18749999999999983,-2250.0,2020-05-21 09:20:00
0,BANKNIFTY20MAY17600CE / BANKNIFTY20MAY17600PE,2020-05-22 09:20:00,409.15,493.0,2020-05-22 10:10:00,493.0,2020-05-22 09:23:00,439.15,-750.0,85080.00000000001,485080.0,-0.1875,-3000.0,2020-05-22 09:20:00
0,BANKNIFTY20MAY17600CE / BANKNIFTY20MAY17600PE,2020-05-26 09:20:00,302.1,342.1,2020-05-26 09:23:00,372.1,2020-05-26 09:43:00,302.1,-750.0,84330.00000000001,484330.0,-0.1875,-3750.0,2020-05-26 09:20:00
0,BANKNIFTY20MAY17600CE / BANKNIFTY20MAY17600PE,2020-05-27 09:20:00,205.0,247.55,2020-05-27 15:15:00,15.8,2020-05-27 10:19:00,235.0,5043.75,89373.75000000001,489373.75,1.2609375,0.0,2020-05-27 09:20:00
